Tanggal,Misi
"Friday, 15 May 2026",Mendapatkan bintang 3 atau lebih saat murajaah sebanyak 10 kali
"Friday, 15 May 2026",Mendengarkan murottal Ali-Imran
"Friday, 15 May 2026",
"Saturday, 16 May 2026",Menyelesaikan 10 materi
"Saturday, 16 May 2026",Murajaah 15 ayat
"Saturday, 16 May 2026",Mendengarkan murottal Al-Waqi'ah
"Saturday, 16 May 2026",
"Sunday, 17 May 2026",Murajaah surah Al-Fajr
"Sunday, 17 May 2026",Mencatat amalan hari ini
"Sunday, 17 May 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Sunday, 17 May 2026",Menabung di Fitur Kurban Sebisaku
"Monday, 18 May 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Monday, 18 May 2026",Menyelesaikan 6 materi di bab Hijaiyah
"Monday, 18 May 2026",Mendapatkan bintang 5 saat murajaah sebanyak 8 kali
"Monday, 18 May 2026",
"Tuesday, 19 May 2026",Bagikan pencapaian belajar 3 kali
"Tuesday, 19 May 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Tuesday, 19 May 2026",Mencatat amalan hari ini
"Tuesday, 19 May 2026",Setoran ayat 3 ayat
"Wednesday, 20 May 2026",Membaca dan menyelesaikan counter dzikir petang
"Wednesday, 20 May 2026",Mendapatkan bintang 5 saat murajaah sebanyak 8 kali
"Wednesday, 20 May 2026",Mengulang 5 materi yang sudah dipelajari
"Wednesday, 20 May 2026",Membaca surah Al-'Alaq di Fitur Khatam Qur’an
"Thursday, 21 May 2026",Mencatat amalan hari ini
"Thursday, 21 May 2026",Murajaah 5 surah
"Thursday, 21 May 2026",Setoran ayat 3 ayat
"Thursday, 21 May 2026",
"Friday, 22 May 2026",Menyelesaikan 6 materi
"Friday, 22 May 2026",Murajaah surah Al-Fatihah
"Friday, 22 May 2026",Dapatkan skor 70% dalam 3 latihan
"Friday, 22 May 2026",Mengulang 5 materi yang sudah dipelajari
"Saturday, 23 May 2026",Membaca surah At-Takatsur di Fitur Khatam Qur’an
"Saturday, 23 May 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Saturday, 23 May 2026",Menyelesaikan kuis spesial : Sebisaku
"Saturday, 23 May 2026",
